id,sex,employment,married,income,digital3
100091,M,employed,1,15606,.56487232
100092,F,retired,1,30766,.22542743
100093,F,employed,1,7866,.28421843
100094,M,employed,1,49436,.67646372
100095,M,employed,1,20262,.68954378
100096,F,employed,1,8886,0
100097,F,student,0,17308,.56843632
100098,M,employed,1,26354,0
100099,M,student,0,15737,.25468054
100100,F,employed,1,5076,.90516961
100101,M,employed,0,5211,.63221937
100102,F,employed,1,10006,0
100103,F,retired,0,6343,0
100104,F,unemployed,1,0,.53397268
100105,M,employed,1,13171,.70601541
100106,F,student,0,0,.49892753
100107,F,retired,0,4017,.13411517
100108,F,student,0,0,.80364478
100109,M,employed,1,9266,0
100110,M,unemployed,1,0,0
100111,M,retired,1,6607,0
100112,F,employed,1,8914,0
100113,M,employed,1,20561,.19907074
100114,F,employed,1,23867,.77676386
100115,F,employed,0,13498,.13335454
100116,F,retired,1,4669,0
100117,F,employed,1,34344,0
100118,M,employed,0,5164,0
100119,M,employed,1,7034,0
100120,F,retired,1,2601,0
100121,F,employed,1,8097,0
100122,M,employed,1,10315,0
100123,M,employed,1,9118,.64756131
100124,M,employed,1,19864,.23435053
100125,F,employed,1,71270,.43705338
100126,F,student,0,0,.46558359
100127,F,employed,1,4933,.21248657
100128,M,employed,1,25208,0
100129,F,retired,0,8665,0
100130,F,employed,1,17323,.74825692
100131,F,retired,1,2811,.075493589
100132,M,employed,1,9713,.86100745
100133,M,employed,1,48148,0
100134,M,student,0,0,.038663711
100135,M,employed,0,6320,.76842463
100136,M,unemployed,1,0,.53028822
100137,M,employed,1,16777,.40955669
100138,F,employed,1,10387,.68251169
100139,F,unemployed,1,25423,.52181166
100140,F,employed,1,42066,.24043849
100141,F,employed,1,34830,.042755596
100142,F,unemployed,0,47106,0
100143,M,student,1,0,.98079008
100144,F,student,0,0,.017002927
100145,F,employed,1,5063,.58145565
100146,F,unemployed,0,0,.50602347
100147,M,employed,1,11655,0
100148,M,employed,0,12074,.46515638
100149,F,employed,1,5856,.77291632
100150,F,employed,1,32778,.66917229
100151,F,employed,1,21573,.61097616
100152,M,retired,0,4351,.093952134
100153,F,employed,0,51134,.83194149
100154,F,employed,1,7206,.63236243
100155,F,employed,1,29774,.71638119
100156,F,unemployed,1,0,.5015443
100157,F,student,1,0,.88860905
100158,M,employed,0,7144,.88122648
100159,F,employed,1,24549,.52522463
100160,M,unemployed,0,10304,.15877292
100161,M,employed,1,15023,.89046156
100162,F,employed,1,5741,.55139756
100163,F,student,0,0,.87674338
100164,F,unemployed,0,7694,.073046409
100165,M,employed,0,48219,0
100166,M,employed,1,16952,.59989727
100167,M,employed,0,12607,0
100168,M,employed,1,11890,.74718916
100169,M,retired,1,24321,.083404526
100170,F,employed,1,8733,.68267024
100171,M,employed,1,6714,0
100172,M,employed,0,12601,.38486606
100173,F,retired,1,3286,.2223967
100174,M,employed,0,186470,0
100175,M,employed,0,8449,.16877437
100176,M,employed,1,11253,.64143187
100177,M,employed,1,5338,.47615552
100178,F,retired,0,12845,.2356575
100179,F,employed,1,8934,.79792076
100180,F,employed,0,10680,.86100638
100181,M,unemployed,1,0,0
100182,F,student,0,22297,0
100183,M,employed,0,13725,0
100184,F,employed,0,319415,.33304793
100185,M,employed,0,5845,0
100186,F,employed,1,5761,0
100187,M,unemployed,0,52088,.77080113
100188,F,unemployed,0,0,.69139498
100189,F,employed,1,7649,.39997122
100190,F,employed,1,6420,.68726307
100191,M,retired,0,3762,.15345798
100192,M,employed,1,9432,.59425521
100193,F,employed,1,9238,.82688081
100194,M,employed,1,7583,.010571077
100195,M,employed,0,42709,0
100196,M,employed,1,9068,.3672286
100197,F,employed,1,7485,.58644712
100198,F,unemployed,1,10087,0
100199,F,student,0,0,.86441106
100200,F,employed,1,4165,.92887187
100201,M,employed,1,25975,.8378095
100202,M,employed,1,17410,.70036161
100203,M,employed,1,52042,.82784206
100204,F,retired,1,4745,0
100205,F,employed,0,52765,.5783872
100206,M,unemployed,0,0,.58652025
100207,M,student,0,34757,.98797029
100208,M,student,0,10346,.79936081
100209,M,unemployed,1,0,.69906867
100210,M,student,0,0,.69435388
100211,M,employed,1,55995,.89248842
100212,M,student,0,0,.89921701
100213,M,employed,1,7152,0
100214,M,employed,1,12683,.5124262
100215,F,unemployed,0,0,.69188052
100216,F,unemployed,1,0,.6036607
100217,F,employed,1,16633,.69786638
100218,F,retired,1,6525,0
100219,F,unemployed,1,0,0
100220,F,employed,0,5859,0
100221,M,employed,1,8814,0
100222,F,unemployed,1,0,.021879774
100223,F,employed,1,9549,.66800052
100224,M,employed,0,36015,.05758835
100225,M,employed,1,13232,.68214804
100226,F,student,0,0,.6589334
100227,M,employed,0,15004,0
100228,M,retired,1,3551,0
100229,M,employed,0,16982,.82399452
100230,M,employed,1,34524,.36768931
100231,M,employed,0,11549,.34198365
100232,F,retired,1,3051,0
100233,F,employed,1,6320,.55493176
100234,M,employed,1,13698,.50637192
100235,F,unemployed,1,0,.15982531
100236,M,retired,1,12804,.24114466
100237,F,employed,1,20543,.50928044
100238,M,employed,0,11339,.48284876
100239,F,student,0,0,0
100240,M,employed,1,8207,.40346608
100241,F,unemployed,1,0,.0068159071
100242,F,employed,0,10767,.88984549
100243,F,student,0,7495,.50936836
100244,M,employed,1,10998,.58567339
100245,M,unemployed,1,0,.93344176
100246,M,employed,1,6050,.59182823
100247,M,employed,0,8918,.59192312
100248,M,employed,1,11217,.75236386
100249,F,student,0,0,.80061799
100250,M,employed,1,7670,.70179158
100251,F,unemployed,1,0,.29555205
100252,F,retired,0,6765,.22485378
100253,M,employed,1,8003,.13810843
100254,F,student,0,11916,.93550551
100255,F,unemployed,1,0,.99410045
100256,M,unemployed,0,16882,.54855371
100257,F,retired,1,3868,.27463692
100258,M,unemployed,1,33793,0
100259,M,employed,1,6878,.69097435
100260,F,employed,0,5565,.070918821
100261,F,employed,1,8571,.7209602
100262,M,employed,0,14141,.82635689
100263,M,employed,1,54985,.98526841
100264,M,retired,1,4783,.19573031
100265,F,employed,0,8659,0
100266,M,employed,1,15217,.22566958
100267,M,employed,1,13104,.030923763
100268,F,student,0,0,.32548904
100269,M,employed,1,23313,.56000531
100270,F,student,0,0,.96614927
100271,F,unemployed,1,41003,.66020286
100272,F,employed,1,19535,.52039587
100273,F,employed,0,14522,.059578016
100274,F,employed,1,32191,0
100275,F,employed,1,5327,.61944079
100276,M,employed,1,8237,.51074857
100277,F,employed,1,34787,.62841964
100278,M,retired,0,6234,.3376537
100279,M,employed,0,5906,0
100280,M,employed,1,28816,.029665293
100281,F,employed,1,5616,0
100282,M,employed,1,32002,.20428021
100283,M,employed,1,91962,.51618969
100284,F,employed,1,9902,.20046443
100285,M,student,0,0,.88175023
100286,M,employed,1,5131,.62968671
100287,F,unemployed,0,0,.7916531
100288,M,employed,1,33077,.73787385
100289,M,student,1,0,.75416195
100290,M,student,0,7134,.90539336
100291,F,employed,1,18243,0
100292,F,employed,1,5662,.34205082
100293,M,employed,0,8242,.79451954
100294,M,employed,1,7862,.83727622
100295,F,student,0,4052,.41966662
100296,F,retired,1,3008,0
100297,F,unemployed,1,9607,0
100298,M,employed,1,267262,.34261835
100299,F,student,0,7645,.034729958
100300,M,employed,0,6275,.61889023
100301,M,employed,1,10447,.002585893
100302,M,student,0,0,.52576065
100303,M,employed,0,15345,.55740762
100304,M,employed,0,25007,.51995385
100305,F,employed,1,21760,.99037999
100306,M,employed,1,8948,.88659602
100307,M,employed,1,9627,.82367343
100308,F,employed,1,11922,.50218892
100309,M,student,0,0,.85084033
100310,F,unemployed,1,0,0
100311,F,retired,1,2736,.25426731
100312,F,employed,0,76671,0
100313,F,unemployed,0,15767,.88206047
100314,F,unemployed,0,12308,0
100315,M,unemployed,1,0,.71320266
100316,M,employed,1,16725,.51401246
100317,F,unemployed,1,0,0
100318,F,employed,1,13192,.69586426
100319,F,employed,1,12367,.84767199
100320,M,employed,0,133010,0
100321,M,student,0,5334,.87140036
100322,M,employed,1,6821,.57748455
100323,F,unemployed,1,7065,0
100324,M,employed,0,12425,.9734121
100325,F,employed,1,17485,.28675979
100326,M,unemployed,1,13440,.0079185404
100327,M,retired,0,18880,.2413197
100328,F,retired,1,8481,.17032917
100329,M,employed,0,14295,.60178065
100330,F,retired,1,3803,.23029122
100331,M,employed,1,15485,0
100332,M,employed,1,7060,.012118973
100333,F,employed,1,6009,0
100334,F,employed,1,27341,.086151347
100335,M,student,0,0,.94779831
100336,M,unemployed,1,0,.77296865
100337,M,employed,1,84967,0
100338,M,student,0,0,.94723642
100339,M,employed,1,32600,.50103176
100340,F,employed,0,5762,.72210813
100341,F,employed,1,71940,.68999803
100342,M,employed,1,10781,.54218537
100343,M,employed,0,45354,0
100344,F,student,0,0,.80713636
100345,M,student,0,15878,.95084524
100346,M,student,0,0,.80360311
100347,F,student,0,0,0
100348,M,student,0,7521,.73940235
100349,F,retired,1,990,.23770221
100350,M,employed,1,7506,.75619262
100351,F,employed,0,8937,.30114472
100352,F,unemployed,1,0,0
100353,M,employed,1,19913,0
100354,M,unemployed,0,11180,.81805462
100355,M,student,0,0,.78684473
100356,F,employed,0,36663,.62220663
100357,F,student,1,9285,.31102777
100358,M,employed,1,23067,.062748633
100359,M,employed,0,11113,.27961355
100360,M,employed,0,17865,.58691078
100361,F,unemployed,1,14772,.068741433
100362,M,employed,1,12163,.58393526
100363,M,employed,1,6384,.80540228
100364,F,employed,0,6425,.31212285
100365,M,retired,0,3950,0
100366,F,employed,1,14880,.61717546
100367,F,retired,1,3214,0
100368,F,student,0,4551,.88200545
100369,M,employed,1,6570,.41111115
100370,M,student,0,0,.85891509
100371,F,employed,0,8316,.23018482
100372,M,employed,1,153060,.26227641
100373,F,unemployed,1,0,.57898587
100374,F,unemployed,0,12568,.22114892
100375,M,unemployed,0,0,.60815507
100376,M,employed,1,6338,.61344385
100377,F,employed,1,12155,.69103879
100378,M,employed,1,119175,.58881664
100379,F,employed,1,29204,.56322539
100380,M,employed,1,18491,.6071527
100381,F,unemployed,0,12329,.60739088
100382,M,unemployed,0,0,.84986192
100383,M,student,0,0,.91458106
100384,M,employed,1,10091,.27136838
100385,M,retired,1,12203,0
100386,M,employed,1,28090,.94126171
100387,M,employed,1,8979,.79703093
100388,F,unemployed,1,0,.15435281
100389,M,retired,1,4475,.2299792
100390,M,unemployed,1,0,0
100391,M,unemployed,1,10947,.48205715
100392,M,employed,1,15555,.60016835
100393,F,employed,0,14633,.50277531
100394,M,employed,1,27800,.63641757
100395,F,student,0,0,.28849778
100396,M,employed,0,25815,0
100397,F,retired,1,11196,.34665197
100398,M,employed,1,6124,.17875333
100399,M,employed,1,10218,.080321565
100400,F,employed,1,9947,.78718531
100401,F,student,0,16597,.97538006
100402,M,employed,0,33436,.56386447
100403,M,retired,1,10859,.22986904
100404,M,unemployed,0,0,.4022865
100405,M,employed,1,31499,.3613753
100406,M,employed,0,11191,.81404448
100407,M,student,0,0,.015690709
100408,M,student,0,0,.6376726
100409,F,employed,1,17551,.22283028
100410,M,student,0,0,.516204
100411,M,employed,1,56694,.02199959
100412,F,employed,0,34384,.82305974
100413,M,unemployed,1,7014,.29892194
100414,F,unemployed,1,6950,.23644595
100415,M,employed,1,26011,0
100416,F,student,0,9682,.79668051
100417,F,employed,0,26666,.36394733
100418,F,employed,1,8932,.71583194
100419,M,unemployed,1,9537,.04064671
100420,F,unemployed,1,0,.42709404
100421,F,employed,1,11195,.67561209
100422,M,employed,0,7593,.88502783
100423,F,employed,0,18522,0
100424,M,employed,1,6302,.21602014
100425,F,unemployed,1,7268,0
100426,F,employed,0,14884,.28430912
100427,F,unemployed,1,0,.84677464
100428,F,retired,1,3255,.22436683
100429,F,employed,0,10741,.1847879
100430,M,student,0,0,.96498871
100431,M,employed,1,7734,.21666162
100432,M,unemployed,1,0,.80973601
100433,M,unemployed,1,0,0
100434,M,employed,1,25312,.34441769
100435,F,unemployed,1,8656,0
100436,M,retired,1,10193,.22529595
100437,F,retired,1,3765,.21469676
100438,F,employed,0,35800,0
100439,M,employed,0,10345,.54596072
100440,M,employed,0,7539,.085734166
100441,M,employed,1,6879,.629489
100442,M,retired,0,11673,0
100443,F,student,0,0,.4229573
100444,F,employed,1,9027,0
100445,F,student,0,24605,.0086770672
100446,M,employed,1,9468,0
100447,M,employed,1,8545,0
100448,M,employed,0,6342,.5024187
100449,F,unemployed,1,0,.11746621
100450,M,retired,1,7309,.31807914
100451,F,unemployed,0,8809,0
100452,M,retired,1,3658,.28907123
100453,F,employed,1,9650,.48094833
100454,M,employed,0,13225,.01446776
100455,F,retired,0,10400,.1876424
100456,M,retired,0,4408,0
100457,M,employed,0,19396,.54438794
100458,M,employed,1,21379,.76083773
100459,M,student,0,0,.96751702
100460,F,employed,1,15867,.21588774
100461,F,student,0,0,.11463776
100462,F,employed,1,5440,0
100463,F,retired,0,3108,.28209114
100464,M,unemployed,1,0,0
100465,M,retired,0,11819,.23953979
100466,M,employed,1,6535,.48887256
100467,F,unemployed,0,12397,.34894249
100468,M,employed,0,6239,.65281826
100469,M,employed,1,28167,.68730611
100470,M,unemployed,1,0,.58116955
100471,F,employed,1,25443,.45071611
100472,M,student,0,0,.91647375
100473,M,retired,0,15827,0
100474,M,employed,0,24507,.80804777
100475,M,employed,1,33246,.10819057
100476,M,employed,1,70841,.2375949
100477,M,employed,1,8477,.3537271
100478,M,employed,0,75724,.50548154
100479,F,unemployed,1,14136,.52000368
100480,F,student,0,0,.66595829
100481,F,unemployed,0,0,.15524189
100482,M,employed,1,6136,.12847501
100483,M,student,0,22625,0
100484,M,employed,1,19843,.84167707
100485,M,employed,1,7346,.53127557
100486,M,employed,0,83878,.55125707
100487,M,employed,1,5129,.56506246
100488,M,student,0,0,.95461482
100489,F,employed,1,23644,.03403436
100490,F,employed,0,9495,0
100491,F,employed,0,6126,.51854533
100492,F,employed,1,7612,0
100493,M,employed,0,9463,.40949333
100494,M,employed,0,17628,.71985966
100495,M,employed,1,7622,.089738414
100496,F,unemployed,1,0,.23843822
100497,F,employed,1,29537,0
100498,M,employed,0,14512,.21557073
100499,F,employed,0,5966,.80196589
100500,F,retired,1,3260,.22365634
100501,M,student,0,0,.97494227
100502,M,employed,1,21891,.011766558
100503,M,employed,0,15858,.64956331
100504,M,unemployed,0,10082,.92133933
100505,M,employed,0,7129,.39664626
100506,M,student,0,8967,.15011528
100507,M,employed,1,14910,.60010934
100508,M,employed,1,7206,.83646274
100509,M,employed,0,5278,.79362667
100510,M,employed,1,8635,.51999658
100511,M,unemployed,1,6594,0
100512,F,employed,1,11345,0
100513,M,employed,1,25887,.40612042
100514,F,unemployed,1,0,.25324681
100515,M,employed,1,13930,0
100516,M,student,0,5219,.68007058
100517,M,unemployed,1,26758,.14435966
100518,M,employed,0,15975,0
100519,M,employed,1,8964,.52820796
100520,M,employed,0,17753,.83383846
100521,F,unemployed,1,27936,.7881006
100522,M,employed,0,56192,.6230588
100523,M,student,0,0,.97324127
100524,F,employed,1,5574,.51372606
100525,M,employed,0,28916,0
100526,M,employed,1,16416,0
100527,F,student,1,15042,0
100528,F,employed,0,29201,.18514809
100529,F,retired,1,7137,.21384673
100530,F,employed,1,13067,.80230749
100531,F,student,0,0,.84358728
100532,F,employed,1,4869,.74604023
100533,F,student,0,2917,0
100534,F,employed,1,13871,.52399302
100535,F,retired,0,3661,.25415549
100536,F,employed,1,7707,0
100537,F,employed,1,19890,.60631317
100538,F,employed,1,14306,0
100539,M,employed,1,28443,.12308891
100540,M,employed,0,6538,.74986506
100541,M,employed,1,29624,.26755959
100542,M,employed,1,22748,.62593907
100543,M,student,0,0,.83461773
100544,M,employed,0,16348,.69852078
100545,M,employed,1,8152,0
100546,M,retired,0,3104,.010768063
100547,M,employed,1,11180,.84348351
100548,M,employed,1,10379,.33256498
100549,M,unemployed,0,16997,.90445995
100550,M,employed,0,9202,.51491547
100551,F,employed,0,13685,0
100552,F,employed,1,24559,.006439934
100553,M,employed,1,8889,.1433934
100554,F,employed,1,11502,0
100555,M,unemployed,1,0,.35242921
100556,F,employed,1,4886,.26660585
100557,F,unemployed,1,14095,0
100558,M,employed,1,9595,.55771536
100559,M,employed,1,23673,.87150908
100560,M,employed,1,9812,.6100843
100561,F,employed,1,8518,.040532086
100562,M,employed,1,17087,.58076608
100563,M,employed,1,7773,.50018895
100564,F,student,0,0,.80291957
100565,M,employed,0,8499,0
100566,M,student,0,0,.7367782
100567,F,unemployed,1,0,0
100568,M,employed,1,98786,.20509459
100569,M,employed,1,180462,.44335613
100570,M,student,0,0,.3742038
100571,F,employed,1,17373,.63601762
100572,F,retired,1,3262,.038250301
100573,F,retired,1,39160,0
100574,M,unemployed,1,0,.60991091
100575,M,employed,1,54820,.17377461
100576,M,employed,1,5958,.61842865
100577,F,student,0,0,.92775458
100578,M,employed,0,6213,.2741324
100579,M,student,0,0,.048813947
100580,M,employed,1,16306,.59390885
100581,M,unemployed,1,9782,.503438
100582,M,employed,1,20810,.70415765
100583,M,employed,1,11356,.44256866
100584,M,retired,0,9084,.36410704
100585,F,employed,1,32527,.65849525
100586,F,employed,0,20917,.4338257
100587,F,employed,1,10165,0
100588,M,unemployed,1,0,.42423242
100589,F,employed,0,8525,.19948767
100590,M,student,0,0,.91206634
100591,M,unemployed,0,0,.84490287
100592,F,student,0,21508,0
100593,F,employed,0,28822,.59722686
100594,M,employed,1,20094,.62996191
100595,M,retired,1,7670,.20621343
100596,F,employed,1,6173,.73301715
100597,F,unemployed,0,0,.62041605
100598,F,unemployed,1,6238,0
100599,M,employed,1,12280,0
100600,M,retired,1,4364,0
100601,M,employed,0,92290,.80964392
100602,M,employed,0,13104,0
100603,M,employed,1,117340,.071621172
100604,M,employed,1,22018,.51825118
100605,M,employed,1,5407,0
100606,F,student,0,0,.96272534
100607,M,employed,1,7335,.63652742
100608,M,employed,1,8170,.19885734
100609,M,employed,1,12633,0
100610,M,student,1,5084,0
100611,M,retired,1,9376,0
100612,M,student,0,18069,.2833626
100613,M,employed,1,6156,.77782464
100614,M,employed,1,7715,0
100615,M,employed,0,5749,0
100616,F,employed,1,8734,.083523579
100617,F,student,0,12198,.81585079
100618,M,unemployed,1,70117,.038923103
100619,F,unemployed,1,0,.92250609
100620,M,unemployed,1,20898,.60412222
100621,F,retired,0,116583,.32445714
100622,M,employed,1,16525,0
100623,M,unemployed,0,6572,.29337364
100624,M,employed,1,6831,.12851772
100625,M,retired,1,8708,.34581748
100626,M,student,0,0,.42995438
100627,F,employed,1,5720,0
100628,F,employed,1,107687,0
100629,M,employed,1,13187,.61226177
100630,M,employed,1,89745,.69279981
100631,F,employed,0,12047,.10734519
100632,M,employed,0,7142,.8546809
100633,F,employed,1,7296,.084400699
100634,M,employed,1,23492,.57508534
100635,F,employed,1,5949,.5005517
100636,F,unemployed,1,134408,.75321263
100637,F,retired,1,9926,.26417679
100638,F,employed,0,5404,.016081112
100639,M,employed,0,92045,.75901031
100640,F,unemployed,1,15855,.21267253
100641,F,unemployed,1,0,.48173735
100642,F,employed,1,5685,.56377673
100643,M,employed,1,10848,.78917331
100644,M,employed,0,6533,0
100645,F,employed,1,28241,.71801472
100646,F,employed,1,8529,.52182925
100647,F,unemployed,1,0,.56086665
100648,M,unemployed,1,10304,0
100649,F,student,0,36517,0
100650,M,employed,1,6161,0
100651,M,student,0,0,.90067303
100652,M,retired,0,3185,.25840354
100653,M,unemployed,0,0,.55316395
100654,F,employed,1,9194,0
100655,M,employed,0,44668,0
100656,M,employed,1,8821,.5409385
100657,F,unemployed,1,58119,.66277808
100658,M,unemployed,1,15076,.77135849
100659,F,retired,1,3826,0
100660,M,employed,0,5844,.51264447
100661,M,employed,1,15609,.84020984
100662,M,student,0,8802,.77794373
100663,M,employed,0,9664,0
100664,F,unemployed,1,22101,0
100665,M,employed,0,7504,.44543904
100666,M,employed,1,6608,0
100667,F,retired,1,46184,.29852003
100668,F,employed,1,6328,0
100669,M,employed,1,6288,.88543558
100670,M,employed,1,13545,.87228787
100671,M,unemployed,1,0,0
100672,M,employed,1,13341,.57943684
100673,M,employed,0,8802,.57964838
100674,F,unemployed,1,11303,.36442065
100675,M,retired,1,22995,.24663416
100676,F,employed,1,10823,0
100677,F,employed,0,48058,0
100678,M,employed,1,11172,.62252784
100679,F,unemployed,1,6987,0
100680,M,unemployed,1,9947,.68112224
100681,F,retired,1,11669,.26560631
100682,M,employed,1,21424,.085624382
100683,M,employed,1,32599,.51797915
100684,F,employed,1,6765,.024853595
100685,M,employed,0,54994,.27935132
100686,F,student,0,6410,.96052909
100687,M,student,0,0,.93310213
100688,M,student,0,0,.82567632
100689,M,retired,1,4268,.10342119
100690,F,unemployed,0,0,.65404093
100691,F,retired,0,7138,.25653428
100692,M,employed,1,26256,.644961
100693,M,unemployed,1,0,0
100694,M,employed,1,9978,.65185136
100695,M,retired,1,7804,0
100696,F,retired,1,3658,0
100697,F,employed,1,7735,.10629355
100698,M,employed,1,6926,.3216081
100699,F,unemployed,1,0,.66292942
100700,M,employed,0,9493,0
100701,F,employed,1,8686,0
100702,M,employed,0,6321,.7185235
100703,F,student,0,0,.9825936
100704,F,employed,1,9284,.44593629
100705,M,student,0,0,.3008984
100706,F,employed,1,15104,.8535437
100707,M,employed,1,9092,.65964806
100708,F,student,0,10529,.17850716
100709,F,employed,1,71289,.75409502
100710,M,employed,1,13239,.80816823
100711,M,unemployed,1,0,.90002841
100712,F,unemployed,1,7329,.44220594
100713,M,employed,1,8239,0
100714,F,unemployed,1,7389,0
100715,M,retired,1,4966,.075345464
100716,M,retired,1,10426,0
100717,F,employed,0,6146,0
100718,F,employed,1,22342,0
100719,M,employed,0,5275,.5781216
100720,M,retired,0,10917,.1754635
100721,F,student,0,0,0
100722,M,unemployed,1,0,.81661779
100723,M,employed,1,16335,.64275891
100724,F,retired,1,10018,.29027113
100725,M,student,0,0,0
100726,M,student,0,0,.95841134
100727,M,employed,0,11593,.82482809
100728,F,employed,1,13401,.38573247
100729,M,employed,0,6571,.59218615
100730,M,employed,0,10123,0
100731,M,student,0,9886,.23678379
100732,F,student,0,0,.93615794
100733,F,employed,1,128580,.8650806
100734,M,employed,1,23570,.053372834
100735,F,employed,1,6180,0
100736,M,student,0,6228,.86508298
100737,M,employed,0,6522,.74846512
100738,F,employed,1,6345,.74969083
100739,M,employed,1,8392,.66973519
100740,M,employed,1,14055,.57061553
100741,F,employed,1,12132,.96363568
100742,F,unemployed,1,7775,.62518078
100743,M,student,0,0,.98196322
100744,M,employed,1,13774,.065893002
100745,F,employed,0,79171,.048470993
100746,F,employed,1,67486,.57993925
100747,M,retired,1,13422,.19972011
100748,F,employed,0,10068,.63001382
100749,M,retired,1,6413,.0096724443
100750,M,employed,1,15347,.24522649
100751,M,employed,1,239045,.28505737
100752,M,unemployed,0,13727,.83990967
100753,M,retired,1,11028,.28543267
100754,F,employed,1,4402,0
100755,F,unemployed,1,0,.99124068
100756,M,employed,1,249211,.79366291
100757,F,employed,0,57824,.78759456
100758,F,employed,0,19670,.092033654
100759,F,employed,1,13629,.72038871
100760,F,student,1,0,.82906723
100761,F,retired,1,31599,.090064682
100762,M,unemployed,1,0,.53944683
100763,F,student,1,19911,.87200433
100764,F,retired,0,7138,.31876734
100765,F,employed,0,6724,.49520761
100766,F,employed,1,20685,.44896942
100767,F,retired,1,6057,0
100768,M,student,0,0,.9062233
100769,M,employed,0,6513,.072252937
100770,F,employed,1,6763,0
100771,F,retired,1,9659,.23016307
100772,F,employed,1,52115,.5566687
100773,F,employed,0,6315,0
100774,M,retired,0,3776,0
100775,M,employed,0,12668,.66902328
100776,M,employed,1,29760,.82040066
100777,F,student,0,0,0
100778,M,student,0,0,.84520233
100779,F,employed,1,7758,.52167827
100780,F,employed,1,17572,.54613364
100781,M,employed,0,18339,.38443643
100782,M,employed,1,8559,.19947809
100783,M,employed,0,18084,.9752484
100784,F,student,0,0,.5280323
100785,F,student,0,0,.93841624
100786,F,unemployed,1,0,0
100787,M,employed,0,14346,.084387526
100788,F,employed,0,6049,.70684779
100789,M,employed,1,16124,.64638036
100790,F,student,0,15099,.7401222
100791,F,employed,0,8218,.49597198
100792,F,unemployed,1,0,.054734793
100793,F,retired,1,4064,.26567531
100794,M,employed,1,306134,.75576544
100795,M,employed,1,5651,0
100796,M,employed,1,22381,.76910526
100797,F,retired,1,5616,.33305252
100798,M,employed,0,92290,.76867515
100799,M,unemployed,1,0,.27154425
100800,M,retired,0,217,.32541186
100801,F,employed,1,5624,0
100802,M,employed,0,24501,.66402799
100803,F,student,0,3916,.90731031
100804,M,employed,1,47167,.50321352
100805,F,unemployed,0,20831,.015403587
